fname,sentence,I-LOC
pr10001_76,6,ødemarken
pr10002_76,11,Rom
pr10002_76,12,"udkants, -, Israel"
pr10002_76,25,Betlehem
pr10002_76,34,Danmark
pr10002_76,36,Saba
pr10002_76,38,Asien
pr10002_76,39,Afrika
pr10002_76,41,Grækenland
pr10002_76,41,Europa
pr10002_76,44,riges
pr10002_76,46,Persien
pr10002_76,47,Babylon
pr10002_76,49,Jerusalem
pr10002_76,68,Jerusalem
pr10002_76,68,Betlehem
pr10002_76,89,Jerusalem
pr10002_76,92,Nazaret
pr10003_76,15,Paradis
pr10003_76,30,Paradis
pr10003_76,45,Paradis
pr10004_76,7,Beder
pr10004_76,41,Randers
pr10006_76,16,Århus
pr10006_76,17,Danmark
pr10007_76,0,Tyskland
pr10007_76,1,katolske
pr10008_76,1,franske
pr10008_76,10,USA
pr10008_76,33,sydafrikanske
pr10008_76,43,Afrika
pr10009_76,0,Grækenland
pr10009_76,0,Delfi
pr10009_76,2,Delfi
pr10009_76,8,Grækenland
pr10009_76,24,Delfi
pr10009_76,31,Delfi
pr10009_76,40,Delfi
pr10009_76,56,Delfi
pr10010_76,26,Ham
pr10010_76,68,Rom
pr10010_76,78,Frankrig
pr10010_76,78,Tyrkiet
pr10010_76,78,München
pr10010_76,79,USA
pr10010_76,80,Kabul
pr10011_76,7,USA
pr10011_76,45,Tyrus
pr10011_76,45,Sidon
pr10011_76,47,Tyrus
pr10011_76,47,Sidon
pr10012_76,4,Ham
pr10012_76,25,Rige
pr10015_76,17,Odense
pr10015_76,23,Paradis
pr10016_76,60,Visdommen
pr10016_76,84,Jerusalem
pr10016_76,87,Betlehem
pr10017_76,2,Danmark
pr10017_76,4,tyske
pr10017_76,5,Wittenberg
pr10017_76,8,Danmark
pr10017_76,8,evangelisk
pr10018_76,6,Egypten
pr10018_76,23,Gudenå
pr10018_76,84,romerske
pr10019_76,28,Ham
pr10020_76,2,Jerusalem
pr10020_76,10,Jerusalem
pr10020_76,47,Jerusalem
pr10020_76,91,Jerusalem
pr10020_76,97,Ham
pr10021_76,16,Rige
pr10021_76,56,Betlehem
pr10022_76,9,Danmark
pr10022_76,49,Amerika
pr10023_76,15,Sverige
pr10024_76,0,.
pr10024_76,1,Roskilde
pr10024_76,7,St
pr10024_76,8,St
pr10024_76,9,"Kastellet, St"
pr10025_76,55,Frelser
pr10030_76,2,Tyrus
pr10030_76,2,Galilæa
pr10030_76,2,Jerusalem
pr10030_76,5,Galilæa
pr10031_76,8,Nazareth
pr10031_76,8,Israel
pr10032_76,7,Hundige
pr10033_76,3,Wittenberg
pr10033_76,29,lutherske
pr10033_76,42,Betlehem
pr10034_77,0,"Ledøje, -, Smørum"
pr10034_77,2,Ledøje
pr10034_77,4,Danmark
pr10034_77,10,USA
pr10034_77,22,Folkekirken
pr10034_77,68,skabelsestroen
pr10035_77,116,Ham
pr10036_77,11,amerikansk
pr10036_77,40,"romerske, rige"
pr10038_77,57,Kana
pr10038_77,123,Kana
pr10038_77,149,Folkekirken
pr10038_77,151,Folkekirken
pr10038_77,152,Nazareth
pr10038_77,155,Kana
pr10039_77,39,Daglejeren
pr10039_77,107,dansk
pr10040_77,13,Israel
pr10040_77,95,Danmark
pr10041_77,1,Hellerup
pr10041_77,2,Danmark
pr10041_77,4,Danmark
pr10041_77,10,tyske
pr10042_77,1,stilhedsterapi
pr10042_77,1,Danmark
pr10042_77,3,Valby
pr10042_77,10,Kroatien
pr10042_77,27,Valby
pr10042_77,31,oldkirken
pr10043_77,4,amerikanske
pr10043_77,7,muslimsk
pr10043_77,10,amerikanske
pr10043_77,10,USA
pr10043_77,11,USA
pr10043_77,12,USA
pr10043_77,17,Hjørring
pr10043_77,35,Syrien
pr10043_77,36,USA
pr10043_77,57,tysk
pr10044_77,36,dansk
pr10044_77,37,Sverige
pr10044_77,38,svensk
pr10044_77,39,Sverige
pr10044_77,101,Tyskland
pr10044_77,102,Kina
pr10044_77,103,Sovjet
pr10044_77,103,Cambodja
pr10044_77,104,Balkan
pr10044_77,115,Afghanistan
pr10044_77,122,Afghanistan
pr10044_77,123,Danmark
pr10044_77,123,Afghanistan
pr10044_77,130,Afghanistan
pr10045_77,1,Egypten
pr10045_77,1,Pakistan
pr10045_77,1,"Saudi, Arabien"
pr10045_77,1,Kina
pr10045_77,1,Vietnam
pr10045_77,2,Mellemøsten
pr10045_77,3,Egypten
pr10045_77,6,Canada
pr10045_77,9,Cairo
pr10045_77,10,egyptiske
pr10045_77,11,Mellemøsten
pr10045_77,11,Vesten
pr10045_77,14,Egypten
pr10045_77,18,Gellerup
pr10045_77,18,Århus
pr10045_77,22,Gellerup
pr10045_77,26,Egypten
pr10045_77,26,Pakistan
pr10045_77,26,Kina
pr10045_77,30,Danmark
pr10045_77,31,"Ledøje, -, Smørum"
pr10045_77,65,Babylon
pr10045_77,68,Egypten
pr10045_77,70,Jerusalem
pr10046_77,48,Ganløse
pr10046_77,52,Japan
pr10046_77,53,Japan
pr10046_77,99,Israel
pr10046_77,100,Israel
pr10046_77,100,"romerske, rige"
pr10047_77,0,amerikansk
pr10047_77,2,Sydstaterne
pr10047_77,4,Syd
pr10047_77,14,amerikansk
pr10047_77,74,norske
pr10048_77,80,norske
pr10049_77,76,Cambodja
pr10050_77,0,"New, York"
pr10050_77,9,Vesten
pr10050_77,15,Afghanistan
pr10050_77,16,Irak
pr10050_77,34,Afghanistan
pr10050_77,36,dansk
pr10051_77,81,Samaria
pr10051_77,81,Galilæa
pr10053_77,19,Sabbatten
pr10053_77,111,Ledøje
pr10054_77,124,svensk
pr10054_77,127,"-, Smørum"
pr10055_77,71,Jordan
pr10056_77,27,Smørum
pr10057_77,8,Vridsløselille
pr10057_77,10,Vridsløselille
pr10057_77,15,Vridsløselille
pr10057_77,45,Vridsløselille
pr10057_77,74,Vridsløselille
pr10057_77,75,Vollsmose
pr10057_77,77,Vollsmose
pr10057_77,77,Odense
pr10057_77,103,"Gregorius, fra, Kappadokien"
pr10058_77,4,Ribe
pr10058_77,55,Oslo
pr10058_77,57,Jerusalem
pr10059_77,4,Nazaret
pr10059_77,82,Vollsmose
