fname,sentence,I-ORG
pr10002_76,11,Centrum
pr10006_76,16,Selskab
pr10006_76,20,Ateitisk
pr10006_76,25,Sovjet
pr10007_76,54,Ham
pr10010_76,22,folketinget
pr10010_76,28,Sl
pr10010_76,33,GT
pr10011_76,20,TV
pr10012_76,19,Rige
pr10012_76,22,Var
pr10013_76,14,Tivoli
pr10014_76,45,Barnet
pr10016_76,1,"De, Vise"
pr10016_76,84,Det
pr10017_76,8,luthersk
pr10018_76,54,Ham
pr10019_76,61,Ham
pr10021_76,15,"Danmarks, Radio"
pr10022_76,9,TV2
pr10022_76,33,TV2
pr10024_76,9,Kastellet
pr10027_76,38,Ham
pr10029_76,11,jydsk
pr10029_76,52,Ham
pr10032_76,60,Hellige
pr10034_77,0,Folkekirken
pr10034_77,14,Selskab
pr10034_77,14,Humanistisk
pr10034_77,14,Folkekirken
pr10034_77,27,"Humanistisk, Samfund"
pr10038_77,2,Folkekirken
pr10038_77,3,Folkekirken
pr10038_77,5,Folkekirken
pr10038_77,11,Folkekirken
pr10038_77,16,Folkekirken
pr10038_77,18,Folkekirken
pr10038_77,25,Superliga
pr10038_77,51,Folkekirken
pr10038_77,56,MR
pr10045_77,0,"Kristeligt, Dagblad"
pr10047_77,1,"Strange, Fruit"
pr10047_77,4,Southern
pr10047_77,9,"Strange, Fruit"
pr10047_77,45,ABC
pr10050_77,0,Twin
pr10050_77,2,"World, Trade, Center"
pr10057_77,60,Tivoli
pr10057_77,76,DR1
pr10062_77,0,"Dansk, Folkeparti"
pr10064_77,14,Metroen
pr10064_77,86,Ham
pr10066_77,0,Folkekirken
pr10066_77,1,Københavns
pr10066_77,22,jødiske
pr10067_77,48,DR2
pr10068_77,61,Samfund
pr10068_77,63,Humanistisk
pr10068_77,66,Humanistisk
pr10069_77,23,Copenhagen
pr10071_77,98,Gestapo
pr10072_77,51,"Dalai, Lama"
pr10073_77,20,Ham
pr10073_77,21,Ham
pr10073_77,22,Ham
pr10073_77,141,ak
pr10082_77,89,Kongehuset
pr10087_77,5,"Århus, Universitet"
pr10087_77,97,IKEA
pr10088_77,89,TV
pr10088_77,121,comfort
pr10089_77,2,Ham
pr10089_77,3,Ham
pr10089_77,4,Ham
pr10089_77,105,tyske
pr10091_77,103,VI
pr10092_77,18,"Københavns, Universitet"
pr10095_77,95,"Kristeligt, Dagblad"
pr10095_77,117,amerikanske
pr10096_77,37,Københavns
pr10096_77,41,irakiske
pr10096_77,71,evangelisk
pr10096_77,71,lutherske
pr10096_77,113,Folkekirken
pr10097_77,134,"Det, Sixtinske, kapel"
pr10099_77,55,Facebook
pr10099_77,56,Facebook
pr10099_77,62,IKEA
pr10100_77,26,DR
pr10102_77,21,Det
pr10102_77,50,Nokia
pr10102_77,53,DR2
pr10102_77,57,Facebook
pr10106_77,9,Pale
pr10107_77,10,Gestapo
pr10107_77,24,Rigsarkivet
pr10108_77,12,DR
pr10109_77,65,Norske
pr10109_77,101,lutherske
pr10111_77,19,harmony
pr10115_77,56,Facebook
pr10117_77,6,Museum
pr10117_77,78,"TV2, Lorry"
pr10118_77,31,Ham
pr10119_77,88,"Kristeligt, Dagblad"
