fname,sentence,I-PER
pr10001_76,6,Esajas
pr10001_76,15,H.C
pr10001_76,15,Andersen
pr10001_76,16,Gud
pr10002_76,8,Kejser
pr10002_76,8,Augustus
pr10002_76,9,Josef
pr10002_76,9,Maria
pr10002_76,11,Augustus
pr10002_76,12,Jesus
pr10002_76,13,"Kejser, Augustus"
pr10002_76,13,Jesus
pr10002_76,14,August
pr10002_76,14,Jesus
pr10002_76,18,hyrderne
pr10002_76,27,Josef
pr10002_76,27,Maria
pr10002_76,27,Stjernen
pr10002_76,34,Jesus
pr10002_76,35,Esajas
pr10002_76,38,Melchior
pr10002_76,41,Balthasar
pr10002_76,49,Israels
pr10002_76,57,Artaban
pr10002_76,58,Pludselig
pr10002_76,60,Artaban
pr10002_76,66,"”, Led"
pr10002_76,75,"Josef, fra, Nazaret"
pr10002_76,75,Maria
pr10002_76,78,Artaban
pr10002_76,79,Soldaterne
pr10002_76,80,Artaban
pr10002_76,82,”
pr10002_76,84,Herren
pr10002_76,85,Herren
pr10002_76,90,Menneskemængden
pr10002_76,92,Jesus
pr10002_76,95,”
pr10002_76,97,Artaban
pr10003_76,6,A
pr10003_76,6,"Thomas, Jensens"
pr10003_76,6,Adams
pr10003_76,8,"Nynazisten, Adam"
pr10003_76,8,Ivan
pr10003_76,9,Gunnar
pr10003_76,11,Khalid
pr10003_76,11,Ivan
pr10003_76,12,Ivan
pr10003_76,12,Gunnar
pr10003_76,12,Khalid
pr10003_76,12,Ivan
pr10003_76,15,Adam
pr10003_76,16,Ivan
pr10003_76,19,Adam
pr10003_76,21,Adams
pr10003_76,21,Ivan
pr10003_76,21,"Ivan, bortforklarer"
pr10003_76,21,Gunner
pr10003_76,21,Khalid
pr10003_76,23,"Adam, Den"
pr10003_76,26,Adam
pr10003_76,28,Ivan
pr10003_76,29,"Adam, får"
pr10003_76,29,Ivan
pr10003_76,29,Ivan
pr10003_76,29,Satan
pr10003_76,31,Adam
pr10003_76,32,Ivan
pr10003_76,33,Ivan
pr10003_76,34,"Adam, ”"
pr10003_76,35,"Adam, indser"
pr10003_76,39,Adam
pr10003_76,41,Ivan
pr10003_76,42,Adams
pr10003_76,42,Khalid
pr10003_76,42,Ivan
pr10003_76,44,Ivan
pr10003_76,45,Ivan
pr10003_76,45,Adam
pr10003_76,45,Adams
pr10003_76,46,Adams
pr10003_76,47,Ivan
pr10003_76,48,Adam
pr10003_76,48,Bee
pr10003_76,51,Jesus
pr10003_76,54,Jesus
pr10004_76,20,bestræbe
pr10004_76,22,Jesus
pr10004_76,24,Jesus
pr10004_76,32,"Jan, Lindhardts"
pr10004_76,42,"Benny, Andersen"
pr10005_76,1,Jesus
pr10005_76,12,Jesus
pr10005_76,12,"Holger, Drachmann"
pr10005_76,13,Jesus
pr10005_76,14,Jesus
pr10005_76,15,Grundtvig
pr10005_76,15,Jesus
pr10005_76,16,Jesus
pr10005_76,17,Jesus
pr10005_76,23,Jesus
pr10005_76,25,"Kirkefaderen, Augustin"
pr10005_76,26,"Søren, Kierkegaard"
pr10005_76,37,Jesus
pr10005_76,37,Jesus
pr10005_76,38,Jesus
pr10005_76,39,Jesus
pr10005_76,39,Paradis
pr10005_76,40,Jesus
pr10005_76,45,Jesus
pr10006_76,3,Bonde
pr10006_76,11,Lykken
pr10006_76,20,"Anders, Stjernholm"
pr10006_76,23,Bjørnvig
pr10006_76,24,Gagarin
pr10006_76,29,"Dennis, Nørmark"
pr10006_76,47,Dennis
pr10006_76,49,Freud
pr10006_76,50,"Martin, Luther"
pr10006_76,51,Luther
pr10006_76,52,…
pr10006_76,62,Bonde
pr10006_76,64,Bonde
pr10006_76,72,Palle
pr10006_76,74,Sartre
pr10006_76,81,stampe
pr10007_76,0,"Martin, Luthers"
pr10007_76,9,Luther
pr10007_76,11,Luther
pr10007_76,15,Jesus
pr10007_76,46,"Ebbe, Kløvedal, Reich"
pr10007_76,58,Kain
pr10008_76,20,Paradis
pr10008_76,33,"Desmond, Tutu"
pr10008_76,34,"Martin, Luthers"
pr10008_76,40,Ubunto
pr10008_76,60,Kain
pr10008_76,60,Abel
pr10008_76,63,Faderen
pr10009_76,1,Oraklet
pr10009_76,6,præstinden
pr10009_76,8,Delfi
pr10009_76,12,Oraklet
pr10009_76,20,Delfi
pr10009_76,24,Oraklet
pr10009_76,24,Johannes
pr10009_76,27,Johannes
pr10009_76,29,Jesus
pr10009_76,30,Jesus
pr10009_76,30,Johannes
pr10009_76,31,Johannes
pr10009_76,33,Johannes
pr10009_76,34,Johannes
pr10009_76,36,Johannes
pr10009_76,37,Johannes
pr10009_76,40,”
pr10009_76,41,Johannes
pr10009_76,42,Johannes
pr10009_76,42,Johannes
pr10009_76,47,Johannes
pr10009_76,50,"Martin, Luther"
pr10009_76,51,Kristus
pr10009_76,52,Ham
pr10009_76,55,Luther
pr10009_76,56,Oraklet
pr10009_76,59,Johannes
pr10010_76,38,Jesus
pr10010_76,42,Jesus
pr10010_76,46,Jesus
pr10010_76,50,Jesus
pr10010_76,54,Jesus
pr10010_76,62,Jesus
pr10010_76,65,Jesus
pr10010_76,66,Jesus
pr10010_76,67,Luther
pr10010_76,68,Jesus
pr10010_76,68,Paulus
pr10010_76,69,Jesus
pr10010_76,89,Jesus
pr10011_76,0,"Søren, Kierkegaard"
pr10011_76,3,Publikum
pr10011_76,25,Publikum
pr10011_76,33,"Søren, Kierkegård"
pr10011_76,35,Klovnen
pr10011_76,36,Kierkegaard
pr10011_76,37,Stikordet
pr10011_76,37,Jesus
pr10011_76,38,Jesus
pr10011_76,38,"Johannes, Døber"
pr10011_76,39,Døberen
pr10011_76,40,Jesus
pr10011_76,41,"Johannes, Døbers"
pr10011_76,44,Jesus
pr10011_76,45,Jesus
pr10011_76,50,Kierkegaard
pr10011_76,52,Publikum
pr10011_76,69,Jesus
pr10012_76,4,Marta
pr10012_76,4,Maria
pr10012_76,6,Martha
pr10012_76,6,Maria
pr10012_76,7,Jesus
pr10012_76,11,Paulus
pr10012_76,19,Jesus
pr10012_76,21,Paulus
pr10012_76,22,Paulus
pr10012_76,22,Paulus
pr10012_76,26,Jesus
pr10012_76,28,Paulus
pr10012_76,29,Martha
pr10012_76,29,Maria
pr10012_76,29,Jesus
pr10012_76,30,Jesus
pr10012_76,31,Jesus
pr10012_76,34,Jesus
pr10012_76,36,Martha
pr10012_76,36,Maria
pr10012_76,46,Jesus
pr10012_76,50,Jesus
pr10012_76,51,Jesus
pr10012_76,55,Jesus
pr10013_76,4,Anastasia
pr10013_76,39,Johannes
pr10013_76,39,Jesus
pr10013_76,39,Jesus
pr10013_76,39,Jesus
pr10013_76,40,Jesus
pr10013_76,49,Jesus
pr10013_76,50,"Johannes, Døber"
pr10013_76,50,Jesus
pr10013_76,51,Jesus
pr10013_76,52,Dem
pr10013_76,62,Jesus
pr10014_76,1,"Peter, Høeg"
pr10014_76,17,Peter
pr10014_76,29,Jesus
pr10014_76,41,"Peter, Høeg"
pr10014_76,55,Jesus
pr10015_76,8,"Søren, Kierkegaard"
pr10015_76,16,"Arne, Hauge, Sørensen"
pr10015_76,21,"Arne, Haugen, Sørensen"
pr10015_76,23,Adam
pr10015_76,23,Eva
pr10015_76,25,Kain
pr10015_76,25,Abel
pr10015_76,28,Adam
pr10015_76,28,Eva
pr10015_76,29,Kain
pr10015_76,32,"Benny, Andersens"
pr10015_76,38,Adam
pr10015_76,38,"Eva, –"
pr10015_76,47,"Benny, Andersen"
pr10015_76,60,Jesus
pr10015_76,63,Jesus
pr10015_76,64,"Kong, Herodes"
pr10015_76,65,Josef
pr10015_76,65,Maria
pr10015_76,67,Jesus
pr10015_76,70,"Arne, Haugen, Sørensen"
pr10015_76,73,Vandringsmanden
pr10016_76,1,"Henry, van, Dyke"
pr10016_76,6,Julen
pr10016_76,14,"Albert, Einsteins"
pr10016_76,38,Johannes
pr10016_76,46,"Erik, A, ., Nielsen"
pr10016_76,47,"Erik, A, ., Nielsen"
pr10016_76,75,Jesus
pr10016_76,78,Johannes
pr10016_76,83,Paulus
pr10016_76,84,Johannes
pr10016_76,89,Julen
pr10016_76,92,"Hans, Ord"
pr10017_76,4,"Martin, Luther"
pr10017_76,5,Luther
pr10017_76,6,Teserne
pr10017_76,11,Luther
pr10017_76,14,Luther
pr10017_76,15,Luther
pr10017_76,19,Luther
pr10017_76,21,"Martin, Luther"
pr10017_76,22,Grundtvig
pr10017_76,23,Julesalmer
pr10017_76,25,Luther
pr10017_76,26,Luther
pr10017_76,29,Luther
pr10017_76,29,Jesus
pr10017_76,32,Luther
pr10017_76,34,Luther
pr10017_76,35,Luther
pr10017_76,37,Luther
pr10017_76,38,Luther
pr10017_76,42,Luther
pr10017_76,43,Luther
pr10017_76,43,Jesus
pr10017_76,44,Luther
pr10017_76,45,Luther
pr10017_76,45,Jesus
pr10017_76,46,Luther
pr10017_76,48,Luther
pr10017_76,49,Jesus
pr10017_76,51,Jesus
pr10017_76,54,"Jesus, Kristus"
pr10017_76,56,Ringen
pr10017_76,57,Jesus
pr10017_76,57,Luther
pr10017_76,68,Luther
pr10017_76,75,Luther
pr10017_76,76,Fred
pr10018_76,0,"Jacob, Knudsen"
pr10018_76,2,"Jacob, Knudsen"
pr10018_76,6,Moses
pr10018_76,8,Napoleon
pr10018_76,13,"Jacob, Knudsen"
pr10018_76,21,"Lars, Lilholt"
pr10018_76,22,"Peter, Masai"
pr10018_76,23,Kapisalit
pr10018_76,23,"Rasmus, Inuit"
pr10018_76,25,"Lars, Lilholt"
pr10018_76,53,Jesus
pr10018_76,79,Jesus
pr10018_76,80,Jesus
pr10018_76,90,Jesu
pr10018_76,90,ulmer
pr10018_76,90,Jesus
pr10019_76,4,Sarah
pr10019_76,4,Abraham
pr10019_76,6,Abraham
pr10019_76,7,Sara
pr10019_76,7,Sara
pr10019_76,7,"Sara, le"
pr10019_76,10,Herren
pr10019_76,10,Maria
pr10019_76,10,Jesus
pr10019_76,11,Maria
pr10019_76,11,Elisabeth
pr10019_76,11,Sara
pr10019_76,12,"Johannes, Døberen"
pr10019_76,13,Maria
pr10019_76,13,Elisabeth
pr10019_76,13,Elisabeth
pr10019_76,14,Maria
pr10019_76,15,Maria
pr10019_76,16,Maria
pr10019_76,17,Maria
pr10019_76,18,Maria
pr10019_76,20,Maria
pr10019_76,22,Maria
pr10019_76,25,Maria
pr10019_76,26,Maria
pr10019_76,28,Jesus
pr10019_76,29,Jesus
pr10019_76,30,"Maria, ”"
pr10019_76,30,Jesus
pr10019_76,32,Jesus
pr10019_76,33,Jesus
pr10019_76,34,"Maria, ”"
pr10019_76,36,Sara
pr10019_76,36,Maria
pr10019_76,37,Maria
pr10019_76,38,Sara
pr10019_76,39,Sara
pr10019_76,42,Maria
pr10019_76,43,Maria
pr10019_76,45,Maria
pr10019_76,45,Sara
pr10019_76,47,Maria
pr10019_76,47,Sara
pr10019_76,48,Maria
pr10019_76,49,Sara
pr10019_76,64,Maria
pr10019_76,65,Maria
pr10019_76,66,Maria
pr10020_76,1,Jesus
pr10020_76,3,Jesus
pr10020_76,10,Jesus
pr10020_76,11,Jesus
pr10020_76,11,Zakarias
pr10020_76,16,Jesus
pr10020_76,21,"Lars, Lilholt"
pr10020_76,38,Jesus
pr10020_76,44,Jesus
pr10020_76,45,Peters
pr10020_76,45,Jesus
pr10020_76,45,Menneskesønnen
pr10020_76,47,Jesus
pr10020_76,47,Menneskesønnen
pr10020_76,51,David
pr10020_76,53,Jesus
pr10020_76,56,Simon
pr10020_76,56,Jesus
pr10020_76,63,Markus
pr10020_76,67,Jesus
pr10020_76,75,Jesus
pr10020_76,79,Jesus
pr10020_76,86,Lilholt
pr10021_76,2,Grundtvig
pr10021_76,5,Grundtvig
pr10021_76,11,Grundtvig
pr10021_76,13,Grundtvig
pr10021_76,15,"Bruno, Rasmussen"
pr10021_76,16,Riget
pr10021_76,17,Bruno
pr10021_76,46,Jesus
pr10021_76,52,Riget
pr10021_76,56,Jesus
pr10021_76,56,Jesus
pr10021_76,58,Jesus
pr10021_76,58,"Bruno, Rasmussen"
pr10021_76,59,Jesus
pr10021_76,60,Jesus
pr10021_76,62,Jesus
pr10021_76,63,"Bruno, Rasmussens"
pr10021_76,63,Riget
pr10022_76,8,"Steffen, Brandt"
pr10022_76,10,"Jesper, Hougaard, Larsen"
pr10022_76,10,"Steffen, Brandt"
pr10022_76,12,"Steffen, Brandt"
pr10022_76,26,numsen
pr10022_76,43,"Steffen, Brandt"
pr10022_76,49,"Steffen, Brandt"
pr10022_76,50,"Steffen, Brandt"
pr10022_76,52,Brandt
pr10022_76,59,Jesus
pr10022_76,67,Jesus
pr10022_76,72,Jesus
pr10022_76,73,Jesus
pr10023_76,17,engels
pr10023_76,18,Jesus
pr10023_76,19,Jesus
pr10023_76,25,Jesus
pr10023_76,26,Jesus
pr10023_76,32,Jesus
pr10023_76,36,Jesus
pr10023_76,39,Jesus
pr10023_76,42,Jesus
pr10023_76,44,Peter
pr10023_76,44,Johannes
pr10023_76,44,Thomas
pr10023_76,53,Jesus
pr10023_76,55,Jesus
pr10024_76,1,Bagger
pr10024_76,5,"Johan, F, ., Struense"
pr10024_76,10,"Poul, Martin, Møller"
pr10024_76,10,Grøn
pr10024_76,15,Jesus
pr10024_76,16,Jesus
pr10024_76,26,Jesus
pr10024_76,32,Jesus
pr10024_76,41,Jesus
pr10025_76,17,Jesus
pr10025_76,19,Jesus
pr10025_76,21,Jesus
pr10025_76,21,Filip
pr10025_76,22,Filip
pr10025_76,22,Andreas
pr10025_76,22,"Simon, Peters"
pr10025_76,22,Jesus
pr10025_76,24,Jesus
pr10025_76,27,Jesus
pr10025_76,29,Jesus
pr10025_76,29,Jesus
pr10025_76,30,Jesus
pr10025_76,31,Jesus
pr10025_76,32,Jesus
pr10025_76,45,Jesus
pr10025_76,54,Jesus
pr10025_76,55,Jesus
pr10025_76,55,Jesus
pr10025_76,56,Jesus
pr10025_76,57,Jesus
pr10027_76,11,"Piet, Hein"
pr10027_76,11,Jesus
pr10027_76,11,Peter
pr10027_76,12,Jesus
pr10027_76,12,Simon
pr10027_76,12,Johannes
pr10027_76,13,Simon
pr10027_76,14,Jesus
pr10027_76,14,Jesus
pr10027_76,15,Simon
pr10027_76,17,Jesus
pr10027_76,17,Peter
pr10027_76,18,Peter
pr10027_76,18,Jesus
pr10027_76,18,Jesus
pr10027_76,18,Peter
pr10027_76,18,Simon
pr10027_76,18,"Johannes, ´"
pr10027_76,19,Jesus
pr10027_76,19,Jesus
pr10027_76,19,Simon
pr10027_76,19,Johannes
pr10027_76,19,Jesus
pr10027_76,19,Peters
pr10027_76,20,Simon
pr10027_76,20,"Johannes, ´"
pr10027_76,21,Jesus
pr10027_76,21,Peter
pr10027_76,22,Jesus
pr10027_76,22,"Peter, svor"
pr10027_76,22,Peter
pr10027_76,24,Jesus
pr10027_76,24,Peter
pr10027_76,25,Jesus
pr10027_76,26,Jesus
pr10027_76,26,Peter
pr10027_76,28,Jesus
pr10027_76,28,Peter
pr10027_76,29,Peter
pr10027_76,29,Jesus
pr10027_76,31,Jesus
pr10027_76,32,Peter
pr10027_76,34,Peters
pr10027_76,34,Vogt
pr10027_76,35,Peters
pr10027_76,36,Peter
pr10027_76,37,Peter
pr10027_76,37,Jesus
pr10027_76,39,Jesus
pr10027_76,39,Peters
pr10027_76,40,Peter
pr10027_76,42,Jesus
pr10027_76,42,Peter
pr10027_76,42,Peter
pr10027_76,44,Jesus
pr10027_76,45,Peter
pr10027_76,47,Peter
pr10027_76,48,Peter
pr10027_76,48,Jesus
pr10027_76,48,Peter
pr10027_76,49,Jesus
pr10027_76,49,Peters
pr10027_76,50,"“, Vogt"
pr10027_76,50,Peter
pr10027_76,52,“
pr10028_76,5,"McKinley, Møller"
pr10028_76,5,Kirk
pr10028_76,11,Lukas
pr10028_76,12,Lukas
pr10028_76,14,Lukas
pr10028_76,19,Jesus
pr10028_76,20,Jesus
pr10028_76,21,Bonde
pr10028_76,28,"Spies, ”"
pr10028_76,32,Diem
pr10028_76,33,Jesu
pr10028_76,35,Bonde
pr10028_76,39,Bonde
pr10028_76,40,Bonde
pr10029_76,0,Jesus
pr10029_76,3,"Kim, Larsen"
pr10029_76,3,Sensuella
pr10029_76,13,"Kim, Larsen"
pr10029_76,13,"Benny, Andersen"
pr10029_76,13,Lykken
pr10029_76,13,Jesus
pr10029_76,15,Jesus
pr10029_76,22,Jesus
pr10029_76,25,Jesus
pr10029_76,28,Jesus
pr10029_76,29,Jesus
pr10029_76,36,Jesus
pr10029_76,37,Jesus
pr10029_76,40,Grundtvig
pr10029_76,41,Grundtvig
pr10029_76,41,Jesus
pr10029_76,42,Grundtvig
pr10029_76,45,Grundtvig
pr10029_76,56,"Lars, Lilholt"
pr10030_76,0,Jesus
pr10030_76,0,Martha
pr10030_76,0,Maria
pr10030_76,1,Jesus
pr10030_76,4,Jesus
pr10030_76,4,Martha
pr10030_76,4,Maria
pr10030_76,15,Jesus
pr10030_76,16,Maria
pr10030_76,16,Martha
pr10030_76,17,Jesus
pr10030_76,17,Maria
pr10030_76,18,Martha
pr10030_76,18,Jesus
pr10030_76,19,Martha
pr10030_76,19,Jesus
pr10030_76,20,Marias
pr10030_76,29,Jesus
pr10030_76,29,Martha
pr10030_76,30,Jesus
pr10030_76,30,Martha
pr10030_76,31,Jesus
pr10030_76,45,Jesus
pr10030_76,45,Martha
pr10030_76,47,Martha
pr10030_76,47,Maria
pr10030_76,47,Jesus
pr10030_76,48,Jesus
pr10030_76,51,Jesus
pr10030_76,52,Martha
pr10030_76,52,Maria
pr10030_76,53,Marias
pr10030_76,53,Martha
pr10030_76,58,Jesus
pr10030_76,58,Martha
pr10030_76,58,Maria
pr10031_76,0,Jesus
pr10031_76,8,"Jomfru, Maria"
pr10031_76,9,Jesus
pr10031_76,15,Jesus
pr10031_76,16,Johannes
pr10031_76,17,"Johannes, Døber"
pr10031_76,17,Jesus
pr10031_76,18,Jesus
pr10031_76,18,Jesus
pr10031_76,19,Rabbi
pr10031_76,21,Jesus
pr10031_76,21,Andreas
pr10031_76,22,Simon
pr10031_76,22,Messias
pr10031_76,23,Filip
pr10031_76,23,Nathanael
pr10031_76,23,Jesus
pr10031_76,24,Nathanael
pr10031_76,24,Nazareth
pr10031_76,25,Philip
pr10031_76,26,Nathanael
pr10031_76,27,Nathanael
pr10031_76,27,Jesus
pr10031_76,27,Jesus
pr10031_76,27,Nathanael
pr10031_76,29,Jesus
pr10031_76,30,Jesus
pr10031_76,31,Jesus
pr10031_76,32,Jesus
pr10031_76,33,Nathanael
pr10031_76,34,Menneskesønnen
pr10031_76,35,Jesus
pr10031_76,35,Jesus
pr10031_76,40,Jesus
pr10031_76,41,Jesus
pr10031_76,46,Jesus
pr10032_76,2,”
pr10032_76,11,"Søren, Kierkegaard"
pr10032_76,29,Jesus
pr10032_76,30,Jesus
pr10032_76,34,”
pr10032_76,40,Paulus
pr10032_76,44,Jesus
pr10032_76,46,”
pr10032_76,52,Jesus
pr10032_76,54,Jesus
pr10032_76,56,Jesus
pr10033_76,3,"Martin, Luther"
pr10033_76,4,Luther
pr10033_76,9,Salmesangen
pr10033_76,10,Luther
pr10033_76,11,Luther
pr10033_76,13,gæsten
pr10033_76,16,"Martin, Luther"
pr10033_76,16,Grundtvig
pr10033_76,17,Luther
pr10033_76,20,Luther
pr10033_76,21,Luther
pr10033_76,24,Luther
pr10033_76,24,Jesus
pr10033_76,27,Luther
pr10033_76,31,Luther
pr10033_76,32,Luther
pr10033_76,35,Luther
pr10033_76,36,Jesus
pr10033_76,36,julenat
pr10033_76,39,Luther
pr10033_76,41,Jesus
pr10033_76,42,Luther
pr10033_76,44,"Lucas, Cranach"
pr10033_76,47,Jesus
pr10033_76,49,Jesus
pr10034_77,10,Bright
pr10034_77,11,"Richard, Dawkins"
pr10034_77,11,"Christopher, Hitchens"
pr10034_77,19,"Jesus, Kristus"
pr10034_77,42,naturvidenskabsmanden
pr10034_77,71,Skabelsestro
pr10034_77,102,Julenat
pr10034_77,103,Jesus
pr10034_77,103,Jesus
pr10034_77,104,Jesus
pr10034_77,114,Jesus
pr10034_77,118,Jesus
pr10034_77,129,Jesus
pr10034_77,130,Jesus
pr10034_77,132,Julenat
pr10035_77,2,Jesus
pr10035_77,17,Paulus
pr10035_77,32,Jesus
pr10035_77,36,Robinson
pr10035_77,107,Jesus
pr10035_77,108,"Steffen, Brandt"
pr10035_77,117,Jesus
pr10036_77,0,Jesus
pr10036_77,0,Lazarus
pr10036_77,11,"John, Wayne"
pr10036_77,15,Nietzsche
pr10036_77,16,Nietzsche
pr10036_77,19,Lazarus
pr10036_77,25,Nietzsche
pr10036_77,27,Nietzsche
pr10036_77,31,Nietzsche
pr10036_77,31,Lazarus
pr10036_77,34,Jesus
pr10036_77,35,Nietzsche
pr10036_77,36,Lukas
pr10036_77,38,Jesus
pr10036_77,41,Lazarus
pr10036_77,44,"Søren, Ulrik, Thomsens"
pr10036_77,45,"Peter, Bangs"
pr10036_77,49,Lazarus
pr10036_77,50,Jesus
pr10036_77,51,Pengeglade
pr10036_77,51,Lukas
pr10036_77,53,Moses
pr10036_77,57,Abrahams
pr10036_77,59,Jesus
pr10036_77,59,Lazarus
pr10036_77,66,Jesus
pr10036_77,68,Jesus
pr10036_77,80,Jesus
pr10036_77,81,Jesus
pr10036_77,83,Jesus
pr10036_77,90,Jesus
pr10036_77,91,Farisæerne
pr10036_77,103,Jesus
pr10036_77,116,Jesus
pr10036_77,122,Lazarus
pr10036_77,122,Jesus
pr10036_77,123,Nietzsche
pr10036_77,124,Jesus
pr10036_77,127,Lazarus
pr10037_77,24,Jesus
pr10037_77,27,Djævelen
pr10037_77,28,Djævelen
pr10037_77,49,Adam
pr10037_77,49,Eva
pr10037_77,51,Adam
pr10037_77,55,Adam
pr10037_77,55,Eva
pr10037_77,60,Djævelen
pr10037_77,61,Adam
pr10037_77,61,Eva
pr10037_77,73,Syndefaldsmyten
pr10037_77,90,Jesus
pr10037_77,90,Johannes
pr10037_77,95,Jesus
pr10037_77,102,Jesus
pr10037_77,102,Jesus
pr10037_77,103,Djævelen
pr10037_77,103,Jesus
pr10037_77,107,Jesus
pr10037_77,108,Jesus
pr10037_77,109,Jesus
pr10037_77,113,Gud
pr10037_77,113,Adam
pr10037_77,113,Eva
pr10037_77,115,Jesus
pr10037_77,116,Jesus
pr10037_77,119,Jesus
pr10038_77,58,Jesus
pr10038_77,59,Maria
pr10038_77,75,Maria
pr10038_77,77,Jesus
pr10038_77,82,Jesus
pr10038_77,85,Jesus
pr10038_77,87,Jesus
pr10038_77,88,Maria
pr10038_77,88,Jesus
pr10038_77,90,Maria
pr10038_77,92,Maria
pr10038_77,95,Jesus
pr10038_77,102,Johannes
pr10038_77,103,Jesus
pr10038_77,105,Johannes
pr10038_77,110,Jesus
pr10038_77,124,Maria
pr10038_77,137,Maria
pr10038_77,138,Maria
pr10038_77,143,Maria
pr10038_77,152,Jesus
pr10038_77,155,Jesus
pr10039_77,0,Jesus
pr10039_77,9,Jesus
pr10039_77,17,Jakob
pr10039_77,23,Passer
pr10039_77,38,Jarl
pr10039_77,38,Christensen
pr10039_77,46,Jesus
pr10039_77,55,Jesus
pr10039_77,57,Jesus
pr10039_77,66,Jesus
pr10039_77,75,Jesus
pr10039_77,81,Jesus
pr10039_77,87,Jesus
pr10039_77,98,Holder
pr10039_77,107,"., Jakobsen"
pr10039_77,117,Jesus
pr10039_77,125,Jesus
pr10039_77,129,Jesus
pr10040_77,0,Matthæus
pr10040_77,2,Jesus
pr10040_77,3,Jesus
pr10040_77,5,Jakob
pr10040_77,6,velsigner
pr10040_77,6,Jakob
pr10040_77,9,Jakobs
pr10040_77,13,Jesus
pr10040_77,15,Jesus
pr10040_77,22,Jesus
pr10040_77,27,Jesus
pr10040_77,28,Jesus
pr10040_77,31,Jesus
pr10040_77,35,Jesus
pr10040_77,38,Jesus
pr10040_77,38,Davids
pr10040_77,42,Jesus
pr10040_77,48,Jesus
pr10040_77,49,Jesus
pr10040_77,54,Jesus
pr10040_77,56,Jesus
pr10040_77,57,Jesus
pr10040_77,58,"Mogens, Müller"
pr10040_77,61,Jesus
pr10040_77,65,Jesus
pr10040_77,72,Jesus
pr10040_77,109,Jesus
pr10040_77,117,Jesus
pr10041_77,14,Dem
pr10041_77,43,Lukas
pr10041_77,65,Jesus
pr10041_77,81,Jesus
pr10041_77,89,Jesus
pr10041_77,118,"Ole, Hartling"
pr10041_77,132,Jesus
pr10042_77,23,stilheden
pr10042_77,44,Hende
pr10042_77,63,Jesus
pr10042_77,64,Mattæus
pr10042_77,64,Jesus
pr10042_77,65,Jesus
pr10042_77,67,Jesus
pr10042_77,69,Jesus
pr10042_77,75,Jesus
pr10042_77,76,Jesus
pr10042_77,78,Jesus
pr10042_77,90,Job
pr10042_77,95,Jesus
pr10042_77,96,Jesus
pr10042_77,99,Jesus
pr10042_77,100,Jesus
pr10042_77,102,Jesus
pr10042_77,103,Lade
pr10042_77,108,Stilheden
pr10042_77,117,Jesus
pr10042_77,129,Paulus
pr10042_77,150,”
pr10042_77,152,Sand
pr10043_77,2,Johannes
pr10043_77,4,"Osama, bin, Laden"
pr10043_77,7,"Bin, Laden"
pr10043_77,9,"Præsident, Obama"
