I-PER,counts
Jesus,86426
Johannes,5941
Maria,5414
Peter,4979
Paulus,3755
Kristus,2284
”,2208
"Jesus, Kristus",2193
Moses,1813
Lazarus,1648
Josef,1533
Lukas,1403
Jakob,1309
Martha,1286
Herren,1249
Luther,1147
Thomas,1110
–,1109
Grundtvig,1097
Adam,1081
Abraham,1039
Esajas,949
Zakarias,919
Kain,880
Simon,859
Judas,830
Ham,819
"Johannes, Døberen",745
Djævelen,737
Jonas,703
Julen,692
Eva,680
Hans,677
Herodes,666
David,654
Matthæus,646
DIAS,550
Peters,540
Markus,527
Stefanus,471
Mattæus,450
Simeon,444
Abel,438
Elias,423
Fred,423
Dem,422
Levi,404
Abrahams,399
Faderen,382
"Johannes, ’",372
Marias,363
Anna,359
"Simon, Peter",351
Filip,340
"Maria, Magdalene",326
Davids,319
Elisabeth,313
"Martin, Luther",311
Gud,299
Matt,296
Kierkegaard,289
Jesu,284
"Søren, Kierkegaard",272
Satan,268
Andreas,268
Jeremias,264
Gabriel,262
Menneskesønnen,234
Sara,218
Nathanael,216
Jakobs,213
Isak,207
Josefs,205
Lucia,199
Pilatus,197
Evangeliet,196
Hitler,192
Emil,182
Noa,176
’,175
Brorson,175
…,172
Esau,160
Nazareth,155
"Kaj, Munk",153
Jobs,150
Zakæus,141
Paradis,136
velsigner,136
Siger,133
Augustus,128
Kingo,128
Messias,126
"Kristus, Jesus",124
Lewis,124
Pludselig,123
Gad,122
Jacob,120
Immanuel,120
"Benny, Andersen",119
"Jomfru, Maria",119
Simons,118
Matthæusevangeliet,116
Johs,110
"Kong, Herodes",106
"Johannes, Døberens",106
gartneren,103
Tage,103
Adams,102
Christian,101
Mariæ,96
"Johannes, Døber",95
"Johannes, evangeliet",92
Lade,91
Nazaret,90
"Maria, –",87
Bonhoeffer,87
"Søren, Ulrik, Thomsen",86
Holder,86
"Johannes, Møllehave",84
Døberen,84
"Nelson, Mandela",82
Søren,81
Muhammed,81
Lykken,81
Poul,79
Enken,79
Urias,79
"Johannes, døberen",79
Andersen,78
"Dietrich, Bonhoeffer",78
"Peter, –",77
Elisa,76
Marie,75
Nikodemus,75
"H.C, ., Andersen",74
Sønnen,73
Stefan,73
Daniel,73
"Kong, David",72
Jens,72
Ole,72
Jørgen,71
"Pontius, Pilatus",70
Storm,70
splint,70
Hr,70
Sand,69
Ivan,69
Opstandelsen,69
Lyder,69
Job,68
"Arne, Haugen, Sørensen",68
Saul,68
Vogt,68
Narnia,67
Kristen,67
"Desmond, Tutu",67
Lea,66
Martin,66
Per,66
Melchior,66
"Johannes, –",64
Mika,64
Gerda,63
Rembrandt,63
Englen,63
Julenat,63
ISIS,62
Lykke,62
Fanden,62
Krist,62
Møllehave,61
"Lazarus, ’",61
Marta,61
Michael,60
Forleden,60
Julie,60
Frans,60
Augustin,60
Sodoma,59
Salomo,59
bildt,58
"Peter, Plys",58
Mandela,57
Rabbi,57
"Charlotte, Rørth",57
Farao,57
Grundtvigs,57
Allah,57
Mads,57
Påskemorgen,56
"Martin, Luther, King",56
Ida,56
Noah,54
Aron,53
Trøst,53
Alfred,53
Signe,52
Aslan,52
Rakel,52
Ville,51
Kay,51
Englene,51
Nietzsche,51
påskemorgen,49
Ingemann,49
Johan,49
Brorsons,48
Margrethe,47
"Johannes, Åbenbaring",47
.,47
"Ham, –",47
Josva,47
"Johannes, Johansen",46
"Anders, And",46
Guds,46
Hyrderne,46
Mesteren,45
Lars,45
Elisabeths,45
"Karen, Blixen",45
Niels,45
Sofie,45
Kasper,45
"Pastor, Storm",45
Ernst,45
Hellig,44
Holdt,44
Holger,44
Farisæerne,44
Thor,44
Cecilia,44
Bruce,44
"Preben, Kok",44
Abels,43
Johanne,43
"Jonas, ’",43
Henrik,43
Salomon,43
Kaj,42
Hende,42
Løgstrup,42
Anton,41
Himlens,41
Kongen,41
"Karl, Barth",41
Jan,41
Rebekka,41
"Holger, Lissner",40
"Profeten, Esajas",40
"Thomas, ’",40
"Siger, Jesus",40
"Herodes, ’",40
Salome,39
"Carl, Nielsen",39
John,39
"Simon, Peters",39
"”, Fred",39
"Kejser, Augustus",39
Stalin,39
palme,39
Kejseren,39
"Zakarias, ’",38
Anne,38
"Kim, Larsen",38
Kristi,38
"Peter, Bastian",38
"Frans, af, Assisi",38
La,37
"Johannes, Døbers",37
ranke,37
dunder,37
Louise,36
Arthur,36
Anders,36
Hagens,36
"Iben, Krogsdal",36
Karen,36
Morten,36
Hebræerbrevet,36
Brian,36
Samuel,36
Dias,36
Mack,36
"Donald, Trump",36
Nils,35
Helligånden,35
Nikolaj,35
"Astrid, Lindgren",35
Konfirmanderne,35
Mathias,35
Teresa,34
Ezekiel,34
Saulus,34
"Søren, Kierkegaards",34
Solveig,34
Moren,34
Odin,34
Kim,34
Dronningen,34
Claus,34
Høst,34
Hanne,34
"Halfdan, Rasmussen",34
Passer,34
“,34
jesus,33
Fader,33
Joakim,33
"Svend, Brinkmann",33
"Maria, ”",33
Riget,33
"Leonard, Cohen",33
Ruth,32
Sam,32
"Jesus, Peter",32
"Piet, Hein",32
Bileam,32
Vor,32
"Abbé, Pierre",32
"Hannah, Arendt",32
Timotheus,32
Lignelsen,32
Han,32
Elsa,32
Tove,32
Sarah,32
Mørket,31
Jonatan,31
"Jan, Lindhardt",31
Frederik,31
Theodor,31
"Ben, Hur",31
Olsen,31
"Steffen, Brandt",31
"Astrid, Lindgrens",31
Guido,31
Bach,31
Breivik,31
"Harry, Potter",31
"Jesus, Krist",31
Pagten,30
"Lars, Lilholt",30
Rosen,30
Romerne,30
Clara,30
Nuser,30
"Jean, Valjean",30
Obama,30
"Johannes, Evangeliet",30
"van, Gogh",30
Hannah,30
Hagar,30
Rig,29
Rasmus,29
Jo,29
Sig,29
Susan,29
Dostojevskij,29
Putin,29
"Kong, Midas",29
Grace,29
Tolderen,29
Venter,29
"Anders, Breivik",29
Paven,28
Hyrden,28
"., Andersen",28
Magnus,28
julenat,28
"Selma, Lagerlöf",28
Omar,28
manna,28
"Per, Ramsdal",28
Inger,28
Jonathan,28
Mikkel,28
Balthazar,27
Glædelig,27
Israels,27
"Maria, Magdalenes",27
Benjamin,27
Mao,27
Jacobs,27
Sigurd,27
"Sankt, Peter",27
Bang,27
Knud,27
Zebedæus,27
,27
Kronos,26
Tim,26
Balder,26
"Ane, Marie",26
Hansen,26
"Marius, Fiil",26
Michelangelo,26
Aastrup,26
Ludvig,26
Steen,26
"Lazarus, –",26
Artaban,26
Gandhi,26
Eli,26
vogt,25
"englen, Gabriel",25
lignelsen,25
helle,25
Lise,25
"Niels, Hausgaard",25
"Maria, Bebudelsesdag",25
"Jens, Rosendal",25
Laurentius,25
"H.C, ., Andersens",25
H.C,25
engels,24
Joel,24
Ingrid,24
Trine,24
"Lars, Busk, Sørensen",24
Farisæeren,24
Gunnar,24
Agnes,24
Abram,24
Grethe,24
Menneskesøn,24
Julemanden,24
"kong, Herodes",24
vader,24
August,23
trampe,23
diem,23
Gartneren,23
konfirmanderne,23
Sokrates,23
Kristian,23
"Maria, Magdalena",23
Digteren,23
Robert,23
Kvirinius,23
"Anker, Jørgensen",23
mao,23
pines,23
"Jakob, Knudsen",23
"Van, Gogh",23
stig,23
"Martin, Luthers",23
Tony,23
Jensen,23
Thorvaldsen,23
Zeus,23
stampe,22
Malin,22
Efraim,22
Aristoteles,22
popper,22
Karl,22
"Johannes, ’, Åbenbaring",22
"Lukas, ’",22
bebudelsen,22
Frost,22
Natan,22
Laban,22
"Herren, Jesus",22
Egon,21
Stiller,21
Bartimæus,21
Amos,21
"Martha, –",21
"Don, Camillo",21
Monty,21
"Charlie, Hebdo",21
Nathan,21
"Thomas, –",21
"Martin, A, ., Hansen",21
Jane,21
Maggie,21
kongers,21
le,20
Mon,20
Sofus,20
Hanna,20
Astrid,20
"Rasmus, Seebach",20
Iver,20
Dam,20
"Primo, Levi",20
Benny,20
"Mother, Theresa",20
hyrderne,20
William,20
"Villy, Sørensen",20
Samaritaneren,20
Nicolaus,20
Lucy,19
Luke,19
Faust,19
Eichmann,19
Jeppe,19
Lønneberg,19
Eigil,19
Antikrist,19
Kirkegaard,19
Palle,19
Darwin,19
Harald,19
Plys,19
"Magnus, Malm",19
Mark,19
Caspar,19
"Lisbeth, Smedegaard, Andersen",19
"Kaj, Munks",19
Edmund,19
S,19
Daniels,19
Dante,19
ulmer,19
Alexander,19
Konstantin,19
"Erik, Hagens",19
"Big, Bang",18
Blicher,18
skule,18
"Bodil, Jørgensen",18
Amanda,18
"HC, Andersen",18
"Lars, Løkke",18
Mohammed,18
Silas,18
Salmisten,18
Sonia,18
hanke,18
"Steen, Skovsgaard",18
"Henri, Nouwen",18
dias,18
"Benny, Andersens",18
Marius,18
"Marie, Magdalene",18
"Dronning, Margrethe",18
