I-ORG,counts
Ham,1914
Testamente,528
Det,412
Facebook,226
GT,154
katolske,153
TV,137
Folkekirken,131
Sl,129
DDS,105
"Det, Gamle, Testamente",98
"Kristeligt, Dagblad",90
Folkekirkens,79
EU,77
Islamisk,73
DR,72
ak,69
lutherske,67
"Det, Gamle",66
hvedekorn,65
Påske,65
TV2,59
Brugsen,57
romerske,54
forladelse,48
folketinget,47
"Gamle, Testamente",46
Gamle,46
Bilka,45
Google,37
Hellige,37
Jesus,35
Israels,32
Politiken,31
Disney,29
Brøndby,28
Bethesda,28
Danmarks,27
FN,26
Liv,25
"Røde, Kors",25
evangelist,25
Gestapo,24
Folketinget,24
jødiske,24
P1,24
DR2,23
Salmernes,23
Kristi,23
FDF,22
Emmaus,22
HC,21
blæsten,21
SS,20
evangeliske,20
lotto,19
”,19
Netto,19
Selskab,18
barnsben,18
Københavns,18
Røde,18
Ef,17
Føtex,17
"Indre, Mission",17
Tivoli,17
Noas,17
IS,16
Var,16
Danske,16
"Dansk, Folkeparti",15
"World, Trade, Center",15
"Danmarks, Radio",15
brugsen,15
Ny,14
SF,14
Trump,14
Indre,14
Lego,14
toldbod,14
Omega,14
"Københavns, Universitet",14
pines,13
"Århus, Universitet",13
DR1,13
Lotto,13
Søns,13
kz,12
Rige,12
Taleban,12
Den,12
Nephew,12
SK,12
damerne,11
Klux,11
Kristeligt,11
Hellig,11
Grand,11
Gran,11
Jyllandsposten,11
Råd,11
"Det, Røde",11
Beatles,11
AK,11
Kolind,11
Beder,11
"Den, Danske, Folkekirke",10
DSB,10
De,10
IKEA,10
.,10
U2,10
Rigshospitalet,10
Mercedes,10
Lk,9
Gt,9
reformationstiden,9
Maya,9
Talent,9
"Paris, Hilton",9
BBC,9
Ford,9
Dansk,8
"Herning, Folkeblad",8
jyske,8
Hær,8
Halloween,8
Ajax,8
Børnerådet,8
Apple,8
Berlingske,8
Matthæusevangeliet,8
Kirkeministeriet,8
SKAT,8
Venstre,7
rigsdagen,7
Kvickly,7
"Vestre, Fængsel",7
co,7
"Frelsens, Hær",7
Rådet,7
"Holger, Danske",7
Riges,7
Wars,7
SE,7
Bording,7
PH,7
nazi,7
Matador,7
Ekstrabladet,7
splinter,7
sl,6
"Ekstra, Bladet",6
Danmarkshistorien,6
lego,6
TV3,6
Frem,6
Fremad,6
lokalavisen,6
abba,6
"Etisk, Råd",6
Tysklands,6
Kors,6
World,6
BT,6
"Israels, Folk",6
Koreakrigen,6
Volkswagen,6
"Olympiske, Lege",6
Ikea,6
FCK,6
tyske,6
Vaya,6
"Aarhus, Universitet",6
"Ham, –",6
MGP,6
evangelisk,6
Levende,6
Konfirmationen,6
regiment,6
Sovjet,6
Nordea,6
Stasi,6
"Berlingske, Tidende",5
Giro,5
Prædikerens,5
fynske,5
Testamentes,5
medarbejderne,5
Weekendavisen,5
"Den, Danske",5
"Danmarks, Radios",5
irakiske,5
Alpha,5
"Post, Danmark",5
"Roskilde, Festivalen",5
nec,5
Rigshospitalets,5
Dagblad,5
Hesselager,5
Robben,5
Hennes,5
Line,5
AGF,5
Kristen,5
Paradise,5
KFUM,5
ABBA,5
sportsklubben,5
Lot,5
"Champions, League",5
kliché,5
Mærsk,5
Christiansborg,5
Blæsten,5
BMW,5
P2,5
Efa,5
Grøn,5
SAS,5
"Danske, Folkekirke",5
PET,5
"Jyllands, Posten",5
bornholmer,5
luthersk,5
Romerne,5
Bethesdas,5
Lille,5
hjorten,5
KFUMs,5
Himmelfart,5
"Det, Nye, Testamente",5
P3,5
IT,5
"-, Cola",4
Medarbejderne,4
"Amnesty, International",4
Sankt,4
Socialdemokratiet,4
Springer,4
MIT,4
"Hampton, Court",4
MAN,4
Læger,4
Enhedslisten,4
SOS,4
Guddommelige,4
–,4
ΨΨΨ,4
Telia,4
Death,4
Gallery,4
News,4
Teologisk,4
playstation,4
fagforeningen,4
Højre,4
Black,4
Falck,4
Hospital,4
efterklang,4
Ramasjang,4
NATO,4
Pet,4
Radio,4
"Dansk, Folkepartis",4
Peters,4
fif,4
fodboldlandshold,4
LEGO,4
vrå,4
Puch,4
Psykologisk,4
Børsen,4
Naboen,4
giro,4
Museum,4
regime,4
"Aalborg, Universitet",4
Jedi,4
Brødremenigheden,4
"Københavns, universitet",4
radioavisen,4
"Cold, Coffee",4
Wall,4
Olympiske,4
Græsted,4
Michelangelos,4
Information,4
B,4
Herrens,4
Danmark,4
DR3,4
PAU,4
Batman,4
AL,4
hof,4
"Benny, Påske",4
mercedes,4
FNs,4
Himmel,4
DDR,4
Paris,4
"Bethesda, Dam",4
Himmelske,4
"Copenhagen, Carnival",4
Bibel,4
"luthersk, evangeliske",4
Nationalbanken,3
Gnags,3
Norske,3
Fox,3
Ekko,3
Rotary,3
Fitness,3
Nissebanden,3
Europaparlamentet,3
"Royal, Opera, House",3
Glory,3
FIFA,3
FK,3
Rugby,3
Rigsarkivet,3
Nato,3
P4,3
FaceBook,3
Orlando,3
"Fætter, BR",3
Milan,3
Greenpeace,3
"Real, Madrid",3
Ferrari,3
OECD,3
New,3
Mission,3
Nye,3
-,3
CIA,3
jydsk,3
radioens,3
Informations,3
Indenrigsministeriet,3
Bartimæus,3
Bauhaus,3
md,3
Blå,3
"Kristelig, Dagblad",3
kongers,3
IM,3
Højesteret,3
cirkusrevyen,3
"British, Museum",3
Hvidsten,3
Kristne,3
gt,3
Krone,3
Humanistisk,3
finansministeriet,3
eventyrernes,3
"evangelisk, lutherske",3
Hr,3
riges,3
Isam,3
Apartheid,3
skype,3
Jyllands,3
JyllandsPosten,3
3F,3
østrigske,3
Jem,3
"Århus, universitet",3
AP,3
Århus,3
volvo,3
verdensbanken,3
Afrikas,3
universitets,3
KFUK,3
tv2,3
KH,3
sundhedsstyrelsen,3
strø,3
Amnesty,3
Andeby,3
sok,3
KL,3
comfort,3
Verdens,3
børnerådet,3
"DR, TV",3
Vietnamkrigen,3
"Dagbladet, Information",3
Vejle,3
VI,3
"University, College, Syddanmark",3
Universitetet,3
"Liberal, Alliance",3
Suzuki,3
Lila,3
"Tønder, Bank",3
"Harvard, University",3
Davids,3
"TV2, News",3
Hebræerne,3
Tim,3
"Ham, ”",3
Magasin,3
"Manchester, United",3
Silvan,3
Dronningens,3
Dronning,3
Disneyland,3
LO,3
Shell,3
Volvo,3
YouTube,3
"Den, Danske, Salmebog",3
Sjællands,3
Washington,3
DK,3
DMI,3
Luthersk,2
Luthers,2
"Jyske, Lov",2
Jyske,2
NY,2
"Luthersk, evangeliske",2
Low,2
Londons,2
Mazda,2
"Londons, Metro",2
Metroen,2
Kiwi,2
NOVA,2
Land,2
Kvindernes,2
Microsoft,2
"Kundera, .",2
LM,2
Lalandia,2
Krop,2
Mediehuset,2
Kronikken,2
Munksgaard,2
"Kristeligt, Folkeparti",2
Landmandsbanken,2
KZ,2
Michelin,2
Kraft,2
"Kongeriget, Danmarks",2
Kongelige,2
Kongehuset,2
"Københavns, Zoo",2
"Kirkernes, Verdensråd",2
"Lincoln, Memorial",2
NB,2
Kingos,2
Menneskerettigheder,2
Statsministeriet,2
Nephews,2
hyundai,2
gestapo,2
habit,2
halloween,2
harmony,2
hebræerne,2
hollandske,2
hunger,2
håndboldlandshold,2
"New, Public, Management",2
"jødiske, Råd",2
kirkeministeriet,2
kongehuset,2
kongelige,2
kreator,2
krydrer,2
kære,2
frømandskorpset,2
forsikringsselskabet,2
fodboldlandsholdet,2
"etiopiske, hof",2
accord,2
adelige,2
alde,2
bjergby,2
borgerservice,2
britiske,2
"britiske, underhus",2
carte,2
"dagbladet, Information",2
"danske, landshold",2
daten,2
disney,2
dr2,2
eldorado,2
enhedslisten,2
liga,2
mankind,2
morris,2
sik,2
sting,2
superliga,2
sydafrikanske,2
særklasse,2
toldboden,2
