abstract,vol_title,date,url,n
"In recent years, deployment of standalone electricity systems to provide energy access in a rural context has increased rapidly. These systems typically incorporating variable renewables alongside electrical energy storage for consistent supply, and operate at a range of scales to provide a range of services. However, there has been relatively little analysis of storage technology choices made by providers of these systems, how this varies by application, how these are influenced by priorities of providers, and how these choices could be improved. Here, we present findings from a series of interviews with providers of off grid energy solutions on choice and availability of technologies, supply chains, realised costs, technology performance, environmental impact, and anticipated impact of future technology development. Based upon these, we make recommendations for regulators and individual companies on how technology choices and life cycle management could be improved.",Volume 48,February 2019,https://www.sciencedirect.com/journal/energy-for-sustainable-development/vol/48/suppl/C,1
"The energy transition is a challenge that affects regions on various scales. This paper presents the economic chances of deploying the renewable energy technology solar photovoltaic in a German region. Total regional economic effects of 280 PV plants, installed in 2014 with a cumulative capacity of 3.7 MW, lead to a regional value added of approximately €3.8 million (€1019/kW installed, €57/MWh electricity generated) and employment effects of 42 full-time person years (11 person years/MW installed), occurring from 2014 to 2034. The avoided greenhouse gas emissions of these plants are 2365 tons CO2 equivalents per year (0.7 kgCO2-eq/kWh generated) and the avoided air pollution is 0.97 tSO2 per year, 1.48 tNOx per year, and 0.07 t NMVOCs per year in 2014. The total economic effects of regional value added, avoided CO2 emissions, and avoided air pollution per year in 2014 range from €0.8 million - €1 million or (€208–€277 per kW installed, €231–€307 per MWh electricity generated).",Volume 48,February 2019,https://www.sciencedirect.com/journal/energy-for-sustainable-development/vol/48/suppl/C,1
"The aim of this research is to study the potential association between the reduction in electricity consumption in Line 2 – Green of the São Paulo Subway and the change of the Train Control System from the “fixed block” type to the “moving block” type. Most of the previous studies published on energy efficiency at subways and trains are simulation studies and only a few based on empirical data. The statistical approach was chosen because there is no installed equipment to directly measure this influence, since the energy consumption is measured at the entrances of the System and there is no individual measurement of each train. The study of the relationships among the variables that potentially influence energy efficiency was performed by means of a multivariate regression. The results of the regression generated an equation model with significance for the variables: type of system, proportion of use of the fleets (particularly the proportion of more modern trains) and the number of trips made. In the regression process, the stepwise method was used and some variables were withdrawn when verifying that they had multicollinearity. The data extracted from the communication protocol were not used in the regression, but they did allow verifying an evidence of improvement in the speed profiles and also a reduction in the number of stops that the train made in the route, indicating a smaller interference between the train movements with the new system. The calculated savings obtained by the new system was around 2.8%, achieving 7.8% on average when the new fleet was included, which only uses the “moving block” system.",Volume 47,December 2018,https://www.sciencedirect.com/journal/energy-for-sustainable-development/vol/47/suppl/C,2
"Solar Photovoltaic systems are widely accepted as alternate energy sources across the world. Grid Tied PV (GTPV) and Grid Interactive (GIPV) PV systems are the two configurations in which PV generation is integrated with Grid. Later is more complex due to inclusion of battery as storage and connected load, along with Grid import/export. In this paper, performance of a 40 kWp GIPV system, installed in India, is presented. The system under study comprises of PV, Grid, and Battery bank and connected load. Performance parameters like reference yield, array yield, final yield, performance ratio, and capacity factor are derived using standards IEC 61724. Also presented is Annual energy yield of the plant and Annual efficiencies of PV array, inverter and system. The effect of temperature on PV array and inverter performance is also evaluated. All these parameters are evaluated from real time annual data.",Volume 47,December 2018,https://www.sciencedirect.com/journal/energy-for-sustainable-development/vol/47/suppl/C,2
"In the present work, we report results of operational testing of a rooftop stand-alone solar photovoltaic (SA-SPV) system of capacity 6.75 kWp over a period of one year. The performance is measured in terms of daily energy yield from SPV array, daily energy output from the battery energy storage (BES) and the inverter. The system's gross annual energy yield is 6069.68 kWh, and corresponding daily average energy yield is 16.58 kWh/day. The annual average reference yield, array yield and final yield of the system are 5.47 h/d, 2.44 h/d and 2.38 h/d, respectively. The annual performance ratio (PR) and capacity utilization factor (CUF) of the system are computed as 43.58% and 10.24%, respectively. The PR of the SA-SPV system is compared with other SA-SPV systems located in different climatic regions.",Volume 47,December 2018,https://www.sciencedirect.com/journal/energy-for-sustainable-development/vol/47/suppl/C,2
"The Fruit And Vegetable Energy (FAVE) model was developed to quantify the energy budget and fossil CO2 emissions in this paper. The energy terms considered were fieldwork, irrigation, on-farm cooling, farm building maintenance, off-farm transport, and N fertilizer supply, with an estimate of farm machinery supply energy integrated with the farm fieldwork energy CO2 emission intensity estimates. The 31 vegetable crops and 18 fruit crops identified in the socio-economic Canadian data base (CANSIM) were divided into six vegetable groups and five fruit groups, along with potatoes. The data provided by the 1996 Farm Energy Use Survey (FEUS) and the guidance provided by two grower focus groups were essential to the development of this model. Total energy use in Canada between 2007 and 2016 was 2.3 PJ by the vegetable industry and 2.32 PJ by the fruit industry. These included 0.77 PJ for fieldwork, 1.05 PJ for irrigation, 0.36 PJ for on-farm coolers, 0.67 PJ for farm building maintenance, 0.70 PJ for off-farm transport and 1.07 PJ for fertilizer supply. The FAVE model was used to determine the fossil CO2 emission intensities of 12 individual crops.",Volume 47,December 2018,https://www.sciencedirect.com/journal/energy-for-sustainable-development/vol/47/suppl/C,2
"Rural energy consumption is an important component of national energy consumption and plays an important role in rural areas and ecological environment developments. This paper investigated energy structure and energy usage behavior in rural areas of northern China based on the analysis of large-scale field survey data. The energy consumption structure is composed of the biomass energy and commercial energy, supplemented by two kinds of mutual use of the way. And Low efficient energy usage and poor indoor environment are major problems in this area. Therefore, the reason for the excessive energy consumption is poor thermal performance of construction, lack of planning standards and low energy efficiency. This paper provides new insights for north China's rural energy consumption, it can also provide detail and real data for the local decision makers and other stakeholders to promote energy-saving policy.",Volume 47,December 2018,https://www.sciencedirect.com/journal/energy-for-sustainable-development/vol/47/suppl/C,2
"Are lucrative charcoal markets in Africa reducing poverty for people in the trade? In spite of its economic significance, the extent to which charcoal income reduces poverty is debatable. This article applies commodity-chain analysis to Ghana's charcoal commodity chain to describe the characteristics of actors, and to quantify and explain the profits reaped by the different actors in the chain. We estimate that profits of US$66 million are generated annually. The distribution is highly skewed between and within actor groups, with 22% of profits reaped by merchants, who make up only 3% of the actors in the market. The majority of producers and retailers, by far the largest groups in the sector generate incomes below the national minimum wage. Women dominate the market in terms of number of persons involved. Women and men earn equal incomes at all levels of the market except at the production level, where men reap higher profits than women. People from several ethnic groups engage in the market, but members of the Sissala and Asante ethnic groups are the most frequently encountered ones throughout the chain. Improving equity along the charcoal chain will require breaking the interlocking credit-labor arrangement that enables merchants to have control over charcoal prices, and improving producers' access to urban markets. The paper makes policy recommendations in this regard.",Volume 47,December 2018,https://www.sciencedirect.com/journal/energy-for-sustainable-development/vol/47/suppl/C,2
"Over 90% of the rural population in sub-Saharan Africa still relies on fuelwood as their primary source of household energy. In this context, recent robust data on fuelwood consumption in rural areas are needed to conceive and implement appropriate energy policies. This paper identifies the factors that determine fuelwood consumption variability in two villages in Burkina Faso, based on a two-year survey of 60 rural households of different size and wealth status. The women who made up the panel were surveyed at five-day intervals over a period of three months in the rainy season, one month in the cold dry season and one month in the hot dry season. Our results corroborate some fuelwood consumption patterns in rural SSA: fuelwood consumption per adult equivalent decreases both with the size of the household and with local wood scarcity. Conversely, it challenges the idea that the level of consumption is correlated with the level of household wealth. Finally, the most important result is that the scarcity of wood resources leads people to buy fuelwood from outside and adopt strategies to reduce their consumption by reducing the number of cooking cycles and certainly by wasting less energy, whatever the level of household wealth.",Volume 47,December 2018,https://www.sciencedirect.com/journal/energy-for-sustainable-development/vol/47/suppl/C,2
"The performance of a hybrid hydrokinetic turbine rotor under different operating conditions is investigated in this study. The effects of radius ratio and attachment angle on the power coefficient, self-starting capability and flow behavior around the turbine were simulated using commercially available software, ANSYS, with FLUENT as the solver. Realizable k-ε turbulence model has been used to solve the unsteady Reynolds-Averaged Navier-Stokes (URANS) equations. We compared the performance of a hybrid hydrokinetic turbine with the identically designed hybrid wind turbine under similar input power conditions. The hydrokinetic turbine rotor showed better performance than that of wind turbine rotor. The maximum values of coefficient of power (CP) and torque (CT) occur at attachment angles of 30° and 60° for a radius ratio of 0.2. At an attachment angle of 90°, fluctuations in CT were minimized.",Volume 47,December 2018,https://www.sciencedirect.com/journal/energy-for-sustainable-development/vol/47/suppl/C,2
