abstract,vol_title,date,url,n
"This article seeks to nip in the bud four emerging myths about the geopolitics of the rise of renewable energy and the concomitant increase in electricity usage. The article presents alternative perspectives, arguing that (1) the risk of geopolitical competition over critical materials for renewable energy is limited; (2) the resource curse as we know it from the petroleum sector will not necessarily reappear in many countries in connection with renewable energy; (3) transboundary electricity cut-offs will mostly be unsuitable as a geopolitical weapon; and (4) it is not clear that growing use of renewable energy will exacerbate cyber-security risks. In all four areas, the evolving literature could place more emphasis on uncertainty and risks and less on one-sided scenarios and maximization of threats.",Volume 49,March 2019,https://www.sciencedirect.com/journal/energy-research-and-social-science/vol/49/suppl/C,1
"In this Perspective paper we call for attention to the rise of digital platforms in the energy field. The smart grid has laid the ground for – and is increasingly swept up by – attempts to apply the economic, social and technological model of the platform to energy provisioning. The emergent energy platforms offer decentralised, digitally enabled exchanges of energy from distributed resources. They can record flows of energy to administer connections of exchange between household users, develop algorithms to steer the flow of energy from and to household batteries, and enable crowdsourced investments into (small-scale) renewable energy production. We draw up a first typology based on platforms’ physical integration into the energy infrastructure as well as users’ scope for action. To map out the possible implications of these developments, we draw on the burgeoning, interdisciplinary field of platform studies to show how logics of platformization will drive changes to the energy system. We identify the marketization of new domains and activities, the formation of new collectivities and the creation of digital environments that afford new types of engagement with energy assets and other users of the grid. Our main concern is that uncertainties produced by these platforms and their tendency to privatise energy provisioning may slow down the transition towards sustainable energy systems. We therefore call upon energy social scientists to not only examine these developments but use these insights to also participate in the responsible design of the energy grids of the future.",Volume 49,March 2019,https://www.sciencedirect.com/journal/energy-research-and-social-science/vol/49/suppl/C,1
"The speed of sustainability socio-technical transitions is dependent upon many factors. One of these is the amount, skill and success of political incumbent resistance. Australia has been a spectacular example of this resistance – politically, economically and culturally. This article contextualizes the recent effort of a collection of federal MPs, grandly if inaccurately named the ‘Monash Forum’, who advocated for the state-funded construction of a new coal-fired power station. If successful, such a move would consolidate the victories already achieved in slowing the socio-technical transition away from centralized fossil fuel-based electricity generation towards a more decentralized and diverse range of renewable energy generation, storage and supply. The Forum can be used as an object that is ‘good to think with,’ as a prism that lets us see the trajectories of politics, economics and culture. The article offers eight ways that the Monash Forum can be considered, within the broader scope of Australia’s climate deadlock.",Volume 49,March 2019,https://www.sciencedirect.com/journal/energy-research-and-social-science/vol/49/suppl/C,1
"In response to concerns about climate change and fossil fuel reliance, Swedish national policy has set the ambitious goal of a fossil fuel independent transport fleet by 2030, opening up a widespread debate on renewable fuel choice. Across sectors and regions, this debate inspires competing visions for how this transition can be achieved. Using sociotechnical imaginaries for a theoretical background, this paper will examine two competing visions in the case of urban public transport in Linköping, Sweden. While the biogas sociotechnical imaginary is based on the socio-material reality of the existing local infrastructure system, the electricity imaginary is gaining widespread support including from national and international interests. Using interviews with fourteen key actors and document analysis, this paper seeks to understand how local actors understand biogas and electric buses as competing technologies and how they mobilize these antagonistic imaginaries in their own visions of the future. Most often, actors mobilize both the biogas and the electric imaginary alongside each other, suggestion an attempt at reconciling them at the local level. This reconciliation sheds light on the challenge of applying national imaginaries to local cases and indicates that the complexity of multi-level systems must be considered in large scale sustainability transitions.",Volume 49,March 2019,https://www.sciencedirect.com/journal/energy-research-and-social-science/vol/49/suppl/C,1
"Nearly Zero Energy Buildings (NZEBs) have been positioned as a low carbon strategy by the European Union in its Directive on the Energy Performance of Buildings (Directive 2010/31/EU). Underlying this directive is that the choice of technical options as well as sources of renewable energy may vary across EU countries and building projects. This article aims to compare the outcomes of NZEB demonstration projects in newly built city districts in Amsterdam, Helsingborg, and Lyon, using insights from strategic niche management theory combined with post-occupancy evaluation. More specifically, the analysis focuses on end-user expectations and experiences with living in energy-neutral city districts and homes, identifying lessons learned. A major conclusion is that the NZEB demonstration projects only facilitated single loop learning of end-users but did not provide an impetus for double loop learning. The findings suggest that NZEB projects need to be redesigned to facilitate more active roles of end-users in order to help realising their full potential in terms of increased energy efficiency and social learning.",Volume 49,March 2019,https://www.sciencedirect.com/journal/energy-research-and-social-science/vol/49/suppl/C,1
"Agent-based modelling has the potential to provide insight into complex energy transition dynamics. Despite a recent emphasis of research on agent-based modelling and on energy transitions, an overview of how the methodology may be of value to understanding transition processes is still missing from the literature. This systematic review evaluates the potential of agent-based modelling to understanding energy transitions from a social-scientific perspective, based on a set of 62 articles. Six topic areas were identified, addressing different components of the energy system: Electricity Market, Consumption Dynamics/ Consumer Behaviour, Policy and Planning, New Technologies/ Innovation, Energy System, Transitions. Distribution of articles across topic areas was indicative of a continuing interest in electricity market related enquiries, and an increasing number of studies in the realm of policy and planning. Based on the relevance of energy transition specific complexities to the choice of ABM as a methodology, four complexity categories (1–4) were identified. Indicating the degree of association between the complexity of energy transitions and ABM’s ability to address these, the categorisation revealed that 35 of the 62 studies directly linked the choice of ABM to energy transition complexities (complexity category 1) or were set in the context of energy transitions (complexity category 2). The review further showed that the greatest potential contribution of ABM to energy transition studies lies in its practical application to decision-making in policy and planning. More interdisciplinary collaboration in model development is recommended to address the discrepancy between the relevance of social factors to modelling energy transitions and the ability of the social sciences to make effective use of ABM.",Volume 49,March 2019,https://www.sciencedirect.com/journal/energy-research-and-social-science/vol/49/suppl/C,1
"Recent years have seen a renewed interest in energy amongst International Relations (IR) scholars. The existing IR literature is characterised by a debate between a realist-inspired ‘geopolitical’ approach that sees energy as a source of zero-sum conflict, and a liberal-influenced ‘global energy governance’ approach which emphasises interdependence and cooperative dynamics. However, by adopting a systemic perspective these IR approaches fail to account for the full range of political dynamics shaping inter-state energy relations. This article consolidates insights from the broader literature on energy politics to develop a new securitisation approach to international energy politics. It argues that energy securitisation – a process where governments frame energy as an existential threat to state interests – is variable and contingent. It occurs in states where energy issues are implicated in economic, regime and/or geopolitical security concerns, and leads governments to adopt nationalistic policy frameworks that result in international conflicts over energy. The utility of this securitisation approach is illustrated with a case study of the divergent energy behaviour of two major energy exporters (Russia and Australia). By accounting for domestic and international dynamics, and explaining rather than assuming the securitisation of energy, this securitisation approach offers more explanatory purchase than existing IR energy theories.",Volume 49,March 2019,https://www.sciencedirect.com/journal/energy-research-and-social-science/vol/49/suppl/C,1
"Microgrids are known to be one of the most effective forms of decentralized energy systems, mainly because of their ability to run independently of the central grid and efficiently integrate a number of distributed energy resources. In terms of a country-wise microgrid market, the United States has the highest capacity share in the world. However, within the country, significant variation exists in the adoption of microgrids by the states. In this context, this paper presents an empirical analysis of the drivers behind high and low microgrid adoption in states across the United States. The results illustrate that the states that frequently experience disasters, and hence have high resilience concerns are more likely to adopt microgrids. On the other hand, higher citizen support for energy choice and pro-environmental attitudes of citizens do not have statistically significant effects on microgrid adoption. By examining the determinants of microgrid adoption in states, this paper provides a basis for understanding the socio-political foundations of the trend of decentralization in the energy system.",Volume 49,March 2019,https://www.sciencedirect.com/journal/energy-research-and-social-science/vol/49/suppl/C,1
"The strategies used by householders for heating and using hot water heating have a significant impact on energy consumption in domestic buildings. A better understanding of the interaction between occupants and hot water heating systems can improve the energy efficiency of a building. This paper maps the interaction between occupants and their current domestic hot water heating systems to provide insights for the design of future thermal energy storage systems. A total of 35 householders from the Midlands region of the UK took part in semi-structured contextual interviews about their current strategies for the provision of hot water and the way they engage with their heating systems. Using the DNAs framework as an analysis lens, drivers, needs and actions relating to the provision of hot water were evaluated and four distinct hot water heating types are presented: On Demand, For All Eventualities, Just Enough and Sunny Days. Findings provide insights into occupants’ behaviour in relation to hot water heating usage and design implications for thermal energy storage technologies.",Volume 49,March 2019,https://www.sciencedirect.com/journal/energy-research-and-social-science/vol/49/suppl/C,1
"The intensive use of information and communication technology (ICT) results in increasing levels of consumption of energy and materials. The use of ICT is widespread among young people, and this paper investigates the everyday practices related to their use of ICT (mainly smart phones and laptops). Based on qualitative studies in the Netherlands and Denmark, we find that energy-intensive use of ICT is encouraged through mutually reinforcing social norms, social-institutional embeddedness and scripts regarding their everyday practices. In addition to a lack of awareness of the environmental impact of ICT, this explains why young people in general find it hard to imagine using ICT less to save energy. It is discussed how the material design (scripts) of ICT, e.g. visual/audio message notifications, supports increased use, but also sometimes are opposed by young people through counter script strategies. More generally, young people often have experiences of (social media) communication as being burdensome due to its extent and social expectations of always being accessible. Future policies should target the social-institutional and material context, instead of the individual user, if the aim is to reduce energy consumption from ICT use. The paper combines a practice theoretical approach with STS concepts that foreground the role of materials in shaping practices.",Volume 49,March 2019,https://www.sciencedirect.com/journal/energy-research-and-social-science/vol/49/suppl/C,1
