abstract,vol_title,date,url,n
"The development of cost-effective technologies, along with high crude oil and natural gas prices, accelerated shale oil and gas extraction in the United States in the early 2000s. We explore the schooling response to this boom, taking advantage of timing and spatial variation in well-drilling activities. We show that intensive drilling activities decreased grade 11 and 12 enrollment over the 14-year study period—41,760 fewer students enrolled per year across the 15 states considered in this analysis (95% C.I.: 12,685–71,567). We investigate heterogeneous effects and show that the effect was larger in states with a younger compulsory schooling age (16 years of age instead of 17 or 18), in states with a lower effective tax rate on oil and gas production, and in non-metro counties with traditional mining or persistent poverty.",Volume 55,February 2019,https://www.sciencedirect.com/journal/resource-and-energy-economics/vol/55/suppl/C,1
"An experiment is proposed in which the subjects could contribute to a public good which could be thought of as reducing pollution, which was stochastic. A nudge (announcement of the socially optimal contribution) and a tax are implemented to improve the level of contributions. The environmental sensitivity and optimism of the subjects are also elicited. Our first result shows that the implementation of the nudge does not perform as well as the implementation of the tax. The reaction to the nudge depends directly on individuals’ environmental sensitivity, contrary to the reaction to the tax. Secondly, the nudge performs well with highly sensitive subjects only during the first half of its implementation. Lastly, the efficiency analysis shows that the implementation of the nudge significantly decreases the groups’ welfare for the least sensitive subjects, in comparison to the baseline.",Volume 55,February 2019,https://www.sciencedirect.com/journal/resource-and-energy-economics/vol/55/suppl/C,1
"We examine the impact of constructing a new, large scale natural gas pipeline on environmental outcomes and fuel consumption patterns in China. We use the construction of three natural gas pipelines in China, constructed at different times but operated by the same state-owned enterprise, as a quasi-experiment to estimate the impact of pipeline projects as a driver of changes in air quality. We then estimate the impact of the pipeline on firm and household energy choices providing a mechanism to explain the reductions in air pollution we find. The difference-in-differences estimates indicate that placing the pipeline into operation significantly reduced emission intensity and led to an increase in natural gas intensity and decrease in coal intensity in industrial sectors with more limited impacts on residential energy consumption.",Volume 55,February 2019,https://www.sciencedirect.com/journal/resource-and-energy-economics/vol/55/suppl/C,1
"This paper presents an analysis of environmental policy in imperfectly competitive market with publicly disclosed and privately-held information about costs. We examine the potential asymmetry-reducing role of disclosure and its impact on setting environmental taxes. From a policy perspective, our findings show that disclosure with verifiable reports, is a valuable public good, provides greater transparency in the market, and is generally efficiency enhancing. Results suggest that access to publicly disclosed information enables the fine-tuning of the tax rules towards specific environmental circumstances and improves the ability of the regulator to levy firm-specific environmental taxes. Further, while we do not attempt to analyze the exchange of information process between players, our findings show that, despite its advantages, exogenously disclosed information can be double-edged sword since it may also produce anticompetitive effects by facilitating collusive behavior. Information sharing between firms may occur and thus lead to a superior outcome in terms of industry output and emissions, which undermines environmental policy performance.",Volume 54,November 2018,https://www.sciencedirect.com/journal/resource-and-energy-economics/vol/54/suppl/C,2
"Understanding responses to government action is critical for developing efficient policy. In the context of land conservation, this paper examines whether municipal policy has a crowding-in or crowding-out effect on neighboring municipalities’ actions and state government actions. Importantly, we focus on municipal conservation referendums, which allow us to use a regression discontinuity framework for causal inference. Using data from Massachusetts and New Jersey, our findings suggest municipal conservation decisions have no effect on neighboring local governments’ or the state’s conservation activity.",Volume 54,November 2018,https://www.sciencedirect.com/journal/resource-and-energy-economics/vol/54/suppl/C,2
"The 21st century oil and gas boom is drastically changing life in the American West. While previous literature has examined how resource booms affect household income and infant health, the effects of resource booms on crime remain largely unstudied. We develop a simple model that demonstrates an oil and gas boom could increase or decrease crime as employment opportunities, inequality, and other aspects of the local economy change. Combining well data provided by drillinginfo.com and FBI incident-level crime data; we examine intra-county changes in both property and violent crime in Colorado as wells open and shut down. We find a positive relationship between the well density of a county and both violent and property crimes. This suggests that while counties in resource intense areas may receive a financial windfall from a rapidly expanding industry base, increased public safety spending may be needed to counteract increases in crime.",Volume 54,November 2018,https://www.sciencedirect.com/journal/resource-and-energy-economics/vol/54/suppl/C,2
"A typical activity of environmental policy agencies is to clean-up polluted sites. This study uses a simple model to analyze the optimal timing of the clean-ups, their size and the optimal order to clean the sites. A waiting rule is derived, which implies that it is generally not optimal to clean a site immediately but to delay the cleaning, and that information solely on the pollution damages and clean-up costs is not sufficient to decide the optimal clean-up order. The results are discussed in the context of exhaustible resource production, mining legacy, radioactive waste containment and brownfield development. For example, the results indicate that if it is optimal to delay the clean-up, the optimal deposit by the exhaustible resource producer to the rehabilitation fund will be inversely related to the initial pollution level of the site and will be less than the cost of rehabilitation.",Volume 54,November 2018,https://www.sciencedirect.com/journal/resource-and-energy-economics/vol/54/suppl/C,2
"This paper reports the results of a stated preference experiment designed to test how information about a good’s attributes provided in a survey affects knowledge, and how knowledge affects preferences for that good. A novel experimental design allows us to elicit subjects’ ex ante knowledge levels about a public good’s attributes, exogenously vary how much new objective information about these attributes we provide to subjects, elicit subjects’ valuation for the good, and elicit posterior knowledge states about the same attributes. We find evidence of incomplete learning and fatigue: as subjects are told more information, their marginal learning rates decrease. Consistent with previous work, ex ante knowledge does affect stated willingness to pay. However, we find no significant marginal impact of knowledge on the mean nor the variance of willingness to pay for changes in the environmental good conditional on ex ante knowledge. Our results are consistent with a number of conceptual models of information processing and preferences, including confirmation bias, costly search, and timing differences in learning and preference formation.",Volume 54,November 2018,https://www.sciencedirect.com/journal/resource-and-energy-economics/vol/54/suppl/C,2
"Comparative feedbacks, that is personalized messages describing how one's behavior compares to that of relevant others, are currently widely used in order to change people's behaviors. Such feedbacks may induce recipients to update their beliefs about both reachable material outcomes and perceived self/social esteem. Both channels are very hard to disentangle in the field, which notably makes welfare analysis a very challenging task. This paper uses an online experiment that makes it possible to focus, within the considered setting, on the role of pure information on material outcomes. Despite an absence of normative pressure, comparative feedbacks are found to trigger comparable or even greater changes in behaviors than other kinds of informative and more accurate feedbacks. A possible explanation may be that comparative feedbacks more effectively conveyed to participants the idea that it should not be too difficult for them to reach a better outcome.",Volume 54,November 2018,https://www.sciencedirect.com/journal/resource-and-energy-economics/vol/54/suppl/C,2
"This study examines the association between social preferences and recycling behavior in a developing country. A conceptual framework that modifies the impure altruism model with heterogeneous preferences and further incorporates the impure public good model is presented to study informal recycling behaviors. Based on survey data collected from 755 households in Hanoi, Vietnam, we find that the majority of sample households recycle all the recyclable materials they consume even though such recycling is not obligatory. Half the recycling households sell their recyclables to informal junk buyers, whereas the other half provide recyclables without monetary compensation. Our finding of voluntary recycling implies that a certain proportion of households have a positive marginal willingness to pay for an increase in the environmental public good. The results of the regression analyses show that recycling behavior is associated with altruism, as measured by a modified version of the self-report altruism scale. Among high-income households, recycling behavior is associated with inequality aversion, as elicited from a hypothetical game. These findings suggest that social preferences are important determinants of the private provision of public goods through the informal sector in a developing country.",Volume 54,November 2018,https://www.sciencedirect.com/journal/resource-and-energy-economics/vol/54/suppl/C,2
"Arctic oil extraction is inconsistent with the 2 °C target. We study unilateral strategies by climate-concerned Arctic countries to deter extraction by others. Contradicting common theoretical assumptions about climate-change mitigation, our setting is one where countries may fundamentally disagree about whether mitigation by others is beneficial. This is because Arctic oil extraction requires specific R&D, hence entry by one country expands the extraction-technology market, decreasing costs for others. This means that, on the one hand, countries that extract Arctic oil gain if others do so as well. On the other hand, as countries may disagree about how harmful climate change is, they may disagree whether an equilibrium where all enter is better or worse than an equilibrium where all stay out. Less environmentally-concerned countries (preferring maximum entry) have a first-mover advantage but, because they rely on entry by others, entry in equilibrium is determined by the preferences of those who are moderately concerned about the environment. Furthermore, using a pooling strategy, an environmentally-concerned country can deter entry by credibly “pretending” to be environmentally adamant, and thus be expected to not follow. A rough calibration suggests a country like Norway, or prospects of a green future U.S. administration, could be pivotal in determining whether the Arctic will be explored.",Volume 54,November 2018,https://www.sciencedirect.com/journal/resource-and-energy-economics/vol/54/suppl/C,2
"When costs are presented as a series of recurring payments in stated preference choice experiment (CE) questions, how respondents discount future payments is important in explaining choices and in the measurement of the present value of willingness to pay. In this paper, alternative discounting approaches are compared to examine their effect on measuring preferences and values using data from a survey examining public preferences for the protection of an endangered species. Exponential and hyperbolic discounting assumptions lead to very similar results in terms of both model fit and welfare. All estimated models suggest future payments are discounted at a very high rate. Several factors likely influencing the magnitude of these estimated discount rates are discussed, and then an argument is made for using payment vehicles in stated preference studies that employ a single lump sum payment rather than a series of future payments.",Volume 54,November 2018,https://www.sciencedirect.com/journal/resource-and-energy-economics/vol/54/suppl/C,2
"The effectiveness of climate policy strongly depends on how these measures are implemented. National policy measures may have international spillover effects which partly neutralize domestic emission reduction, while different types of policy measures may offset each other as well. This paper explores the conditions for these interaction effects by using a concise partial-equilibrium two-country model of the electricity market which also includes a system for emissions trading. We find that the international spillover effects not only depend on the integration of electricity markets, but also on the tightness of the emissions-trading system. We show that this tightness is negatively related to the degree the supply of renewable energy is stimulated. We find that the more renewable energy is stimulated, the less domestic reduction in carbon emissions is offset by spillover effects. A more binding cap in the emissions-trading system makes national policies less effective. Hence, if climate-policy measures such as subsidies for renewable energy make the cap in the trading scheme less binding, these climate-policy measures become more effective.",Volume 54,November 2018,https://www.sciencedirect.com/journal/resource-and-energy-economics/vol/54/suppl/C,2
"This paper develops a detailed partial equilibrium model of the global helium market to study the effects of the recently decided rapid phase out of the U.S. Federal Helium Reserve (FHR), a vast strategic stockpile accumulated during the 1960s. The model incorporates a detailed representation of that industry and treats both helium producers and the FHR as players in a dynamic non-cooperative game. The goal of each player is assumed to be the maximization of discounted profit, subject to technical and resource constraints. We consider two alternative policies aimed at organizing the phase out of the FHR: the currently implemented one and a less stringent one whereby the FHR would be allowed to operate as a profit-maximizing agent during an extended period of time. Evidences gained from a series of market simulations indicate that, compared to the current policy, a less stringent policy mandate systematically increases the financial return to the U.S. federal budget, always enhances environmental outcomes as it lowers helium venting into the atmosphere, and also augments global welfare in three out of the four scenarios considered in the paper.",Volume 54,November 2018,https://www.sciencedirect.com/journal/resource-and-energy-economics/vol/54/suppl/C,2
"This study shows that the level of trust matters for how corruption affects public policy outcomes in the long-run, in particular the stringency of environmental policies. We argue that the level of trust affects the relative strength of industry- and environmental lobby groups, and therefore the effect of corruption on the stringency of environmental policies. We use a novel index of the level of corruption in each state which uses Associated Press (AP) news wires. We find that higher corruption reduces the stringency of environmental policies when the level of trust is low, but the effect declines and even becomes positive at higher levels of trust.",Volume 54,November 2018,https://www.sciencedirect.com/journal/resource-and-energy-economics/vol/54/suppl/C,2
