city, 1960, 1961, 1962, 1963, 1964, 1965, 1966, 1967, 1968, 1969, 1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980
Cottbus, 2, 0, 1, 0, 0, 2, 0, 2, 0, 1, 0, 0, 5, 7, 2, 1, 1, 0, 1, 1, 1
Dresden, 33, 43, 30, 38, 58, 66, 28, 64, 63, 34, 50, 39, 123, 53, 115, 59, 66, 93, 62, 61, 70
Erfurt, 3, 9, 9, 1, 7, 5, 6, 9, 4, 20, 49, 2, 14, 11, 8, 0, 7, 1, 5, 11, 13
Frankfurt (Oder), 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Gera, 5, 2, 8, 15, 4, 5, 7, 13, 8, 6, 4, 5, 8, 10, 10, 10, 11, 9, 5, 6, 9
Halle, 59, 50, 52, 101, 86, 127, 81, 123, 92, 59, 69, 48, 42, 61, 127, 41, 57, 113, 65, 74, 49
Karl-Marx-Stadt, 5, 6, 6, 2, 4, 3, 5, 16, 11, 2, 0, 2, 4, 2, 18, 1, 6, 5, 5, 3, 4
Leipzig, 91, 111, 157, 85, 71, 89, 94, 113, 81, 44, 44, 27, 41, 45, 54, 28, 50, 62, 49, 49, 41
Magdeburg, 18, 5, 10, 17, 23, 30, 21, 16, 23, 13, 21, 18, 19, 13, 45, 19, 54, 53, 46, 48, 28
Neubrandenburg, 0, 0, 4, 0, 2, 1, 0, 1, 0, 0, 1, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0
Potsdam, 12, 11, 11, 12, 30, 18, 8, 10, 5, 17, 19, 4, 16, 6, 7, 10, 8, 9, 9, 11, 19
Rostock, 72, 75, 67, 53, 68, 72, 80, 66, 68, 84, 84, 53, 19, 32, 59, 48, 62, 65, 45, 90, 50
Schwerin, 8, 5, 6, 18, 5, 6, 12, 8, 3, 17, 2, 8, 7, 4, 2, 1, 4, 14, 16, 17, 20
Suhl, 4, 12, 9, 9, 14, 20, 10, 11, 11, 10, 5, 6, 9, 13, 9, 20, 22, 23, 21, 16, 17
